Title,Year,Authors,GatesAuthors
Edge-Weighted Personalized PageRank - Breaking A Decade-Old Performance Barrier.,2015,"Wenlei Xie, David Bindel, Alan J. Demers, Johannes Gehrke, ","Alan Demers, David Bindel"
Effects of implicit sharing in collaborative analysis.,2014,"Nitesh Goyal, Gilly Leshed, Dan Cosley, Susan R. Fussell, ","Dan Cosley, Gilly Leshed"
Efficient Buffering in Reliable Multicast Protocols.,1999,"神znur 神zkasap, Robbert van Renesse, Kenneth P. Birman, Zhen Xiao, ","Ken Birman, Robbert van Renesse"
EmotionCheck - leveraging bodily signals and false feedback to regulate our emotions.,2016,"Jean Marcel dos Reis Costa, Alexander Travis Adams, Malte F. Jung, Fran神ois Guimbeti赤re, Tanzeem Choudhury, ","Malte Jung, Tanzeem Choudhury"
Empirical characterization of uncongested optical lambda networks and 10GbE commodity endpoints.,2010,"Tudor Marian, Daniel A. Freedman, Ken Birman, Hakim Weatherspoon, ","Hakim Weatherspoon, Ken Birman"
Enforcing Privacy Policies with Meta-Code.,2015,"H衰vard D. Johansen, Eleanor Birrell, Robbert van Renesse, Fred B. Schneider, Magnus Stenhaug, Dag Johansen, ","Fred Schneider, Robbert van Renesse"
Error bounds for correlation clustering.,2005,"Thorsten Joachims, John E. Hopcroft, ","John Hopcroft, Thorsten Joachims "
Evaluating the accuracy of implicit feedback from clicks and query reformulations in Web search.,2007,"Thorsten Joachims, Laura A. Granka, Bing Pan, Helene Hembrooke, Filip Radlinski, Geri Gay, ","Geri Gay, Thorsten Joachims "
Evaluation methods for unsupervised word embeddings.,2015,"Tobias Schnabel, Igor Labutov, David M. Mimno, Thorsten Joachims, ","David Mimno, Thorsten Joachims"
Exact temporal characterization of 10 Gbps optical wide-area network.,2010,"Daniel A. Freedman, Tudor Marian, Jennifer H. Lee, Ken Birman, Hakim Weatherspoon, Chris Xu, ","Hakim Weatherspoon, Ken Birman"
Experience with 3 SDN Controllers in an Enterprise Setting.,2016,"Zhiyuan Teo, Ken Birman, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
Exploiting Gossip for Self-Management in Scalable Event Notification Systems.,2007,"Ken Birman, Anne-Marie Kermarrec, Krzysztof Ostrowski, Marin Bertier, Danny Dolev, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
Eye tracking and online search - Lessons learned and challenges ahead.,2008,"Lori Lorigo, Maya Haridasan, Hr神nn Brynjarsd神ttir, Ling Xia, Thorsten Joachims, Geri Gay, Laura A. Granka, Fabio Pellacini, Bing Pan, ","Geri Gay, Thorsten Joachims"
Eye-tracking analysis of user behavior in WWW search.,2004,"Laura A. Granka, Thorsten Joachims, Geri Gay, ","Geri Gay, Thorsten Joachims"
Fabric - a platform for secure distributed computation and storage.,2009,"Jed Liu, Michael D. George, K. Vikram, Xin Qi, Lucas Waye, Andrew C. Myers, ","Andrew Myers, Michael George"
Facilitating Development of Pragmatic Competence through a Voice-driven Video Learning Interface.,2017,"Gabriel Culbertson, Solace Shen, Malte F. Jung, Erik Andersen, ","Erik  Andersen, Malte Jung"
Fast checkpoint recovery algorithms for frequently consistent applications.,2011,"Tuan Cao, Marcos Antonio Vaz Salles, Benjamin Sowell, Yao Yue, Alan J. Demers, Johannes Gehrke, Walker M. White, ","Alan Demers, Walker White"
Fast Iterative Graph Computation with Block Updates.,2013,"Wenlei Xie, Guozhang Wang, David Bindel, Alan J. Demers, Johannes Gehrke, ","Alan Demers, David Bindel"
Feedback effects between similarity and social influence in online communities.,2008,"David J. Crandall, Dan Cosley, Daniel P. Huttenlocher, Jon M. Kleinberg, Siddharth Suri, ","Dan Cosley, Jon Kleinberg"
Feedback for guiding reflection on teamwork practices.,2007,"Gilly Leshed, Jeffrey T. Hancock, Dan Cosley, Poppy L. McLeod, Geri Gay, ","Dan Cosley, Geri Gay, Gilly Leshed"
Finding social roles in Wikipedia.,2011,"Howard T. Welser, Dan Cosley, Gueorgi Kossinets, Austin Lin, Fedor Dokshin, Geri Gay, Marc A. Smith, ","Dan Cosley, Geri Gay"
Follow the Sun through the Clouds - Application Migration for Geographically Shifting Workloads.,2016,"Zhiming Shen, Qin Jia, Gur-Eyal Sela, Ben Rainero, Weijia Song, Robbert van Renesse, Hakim Weatherspoon, ","Hakim Weatherspoon, Robbert van Renesse"
For the sake of simplicity - Unsupervised extraction of lexical simplifications from Wikipedia.,2010,"Mark Yatskar, Bo Pang, Cristian Danescu-Niculescu-Mizil, Lillian Lee, ","Cristian Danescu-Niculescu-Mizil, Lillian Lee"
From Declarative Languages to Declarative Processing in Computer Games,2009,"Benjamin Sowell, Alan J. Demers, Johannes Gehrke, Nitin Gupta 0003, Haoyuan Li, Walker M. White, ","Alan Demers, Walker White"
Have your Cake and Eat it Too - Foreign Language Learning with a Crowdsourced Video Captioning System.,2017,"Gabriel Culbertson, Solace Shen, Erik Andersen, Malte F. Jung, ","Erik  Andersen, Malte Jung"
